epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5088,0.78518,3.12971,1.13487,0.00808,1,0.87137,0.7416,0.50866,3.42221,0.95093,0.00018337,0.00018337,0.00018337
2,170.357,0.6241,2.10871,1.01481,0.00813,1,0.77926,0.65603,0.55596,3.30634,0.99079,0.000345452,0.000345452,0.000345452
3,251.602,0.61363,1.95882,1.02971,0.934,0.32931,0.80573,0.69632,0.64991,3.24623,1.00239,0.000467927,0.000467927,0.000467927
4,339.842,0.568,1.75786,0.98593,1,0.66893,0.90887,0.80402,0.67021,2.9463,0.9776,0.000550793,0.000550793,0.000550793
5,420.452,0.62035,1.74801,1.00024,0.89121,0.76217,0.89086,0.76544,0.60705,2.44372,0.92302,0.000594052,0.000594052,0.000594052
6,488.149,0.59382,1.57593,0.96242,0.90214,0.86047,0.94244,0.81086,0.70619,2.35904,0.93922,0.000597703,0.000597703,0.000597703
7,555.449,0.56599,1.41999,0.92109,0.8476,0.88372,0.93712,0.7647,0.63138,1.99596,0.97636,0.000561746,0.000561746,0.000561746
8,621.71,0.52016,1.3213,0.9235,0.93192,0.95508,0.96789,0.85217,0.50893,1.60599,0.91201,0.000486181,0.000486181,0.000486181
9,688.144,0.52502,1.34182,0.95927,0.9094,0.93384,0.9537,0.85487,0.46831,1.53313,0.88365,0.000346736,0.000346736,0.000346736
10,771.537,0.49505,1.23769,0.91659,0.91205,0.96481,0.96341,0.87502,0.4475,1.34244,0.8807,0.000181703,0.000181703,0.000181703
